userId,username,xp,level
885554004891947029,ahuman7131,30,2
432686113576976394,UltimateRPG,10,1
785196430796914758,Slate,1234,15
1159840314425626696,lulu_anytime,40,1
1154953587407990886,sakami_01612,10,1
1099213814391636078,walkerjusten,84,4
734206578542247987,arnievq,10,1
235148962103951360,Carl-bot,50,2
1092029341673734265,imanishkumar02,30,1
1137059439678074902,fevzipasha.,60,1
191909089599684617,rusty1908,20,1
543724828008513537,jxxyguptx,10,1
1027007568830275585,otismonsta,24,4
1103059998281580587,swox_isteaq,10,1
1132766063365476442,Clarisha,10,1
1146033001864634429,clowe.amp,30,1
1158074978084864042,hilmikurnaz.,20,1
1144466670119829537,axmilin,10,1
1011633031494246480,Majesty Translator,20,1
786154514407358494,sierraoffline,20,1
396173519953592320,lonoxx,10,1
378064852696039435,barkos.,30,1
910264557761593345,imdyingtokissyou,10,1
1068194643918987324,swernfallen,30,1
521034631626096650,axelllaa,383,8
533079485898293248,flashbacklog,10,1
1066965487671586817,iamsadsovietunionfal,20,1
1053747084198682775,dianoss,10,2
1128324073701773502,alfa_sef,110,1
1141043278947549405,ffdfdsfsdfds,10,1
undefined,undefined,undefined,undefined
1147267897723461783,aareysood1washere,70,2
578331932761522189,gaguinho7,10,1
981709371576840242,andronicus9256,393,8
463486103228514315,eric,10,1
534097411048603648,lostya,30,1
1159567430750834738,murat550696,10,1
1055401749873184768,yeager.san,10,1
390543442335236127,xappp,20,1
1134122060659040326,prijensheratha,10,1
557582369897316352,nobcop,10,1
177507549824811008,forded,10,1
691061795086925854,aidenlook,36,3
283946584461410305,yeci,20,1
656224488178057216,superpro_xxl_cool_gamer,10,1
1071659921382313995,himersos,40,1
264109085174005770,kneemund,10,1
1123317085418819636,eymen_24,50,1
1158802341487718561,tunar_12,50,2
1016370029631123589,cinarreis090,44,4
1156880125644783656,rizgar0153_41229,30,1
736887813974392844,bluaimz,10,1
733903910967836753,regisplayerr,20,1
853327905357561948,Appy,10,1
412709765421072384,zanou,40,1
1065395762298630214,burlone413,40,1
1141789795920658452,akiffriztche.,20,1
1010946492544069724,Deprem Bilgi,10,1
418412306981191680,BMO,176,13
753757823535677561,HIDEO_KOJIMA,144,4
187636089073172481,DuckHunt,89,6
652594290832441364,chocomint,34,4
518070897295228959,Discord Bots,7,5
621929840710516736,kotchu,164,9
522951848399863858,lewisaaronwelch,110,2
807182830752628766,HLTV,90,2
655157441612349453,Eeveeloutions,0,2
1160962974958235749,xxxtryharderxxx,20,2
975470915448090674,Valentin Gheorghe,10,1
618590935902584842,TOxic-Chan,20,1
1146913426338230292,Echo™,30,1
1085406806492319784,IDLE FARM,40,1
1127020220163309670,RLAF,10,1
418842777720193037,Application Bot,10,1
993492028300218388,Preselany,20,1
302968847353249813,a5rocks,154,4
660210517671018525,imwide,10,1
147203919519416320,nemoia,26,3
1080187762537414847,Pokeball Rewards,10,1
662990111742492672,MT™,30,1
455428041586376729,auravoid,44,4
228574821590499329,erisachu,26,3
437808476106784770,Arcane,60,1
858107264707592202,Unknown_useer,10,1
428051016643248128,mansellll,10,1
1146530065199403069,chick8n,10,1
87175509309419520,benjaminzehowlt,30,1
843535797826355220,ariel_.1,10,1
306142257818632193,Yuuki Beta,10,1
676126557034643523,cupcake,70,1
127981791402393600,bonsai._.,40,1
876122479968550952,barrier6634,30,1
1123660107293667338,PokéFusions,10,1
875811233616519219,Noctaly,10,1
239809536012058625,snoot.pink,10,2
499515537173381132,thisislotan,40,1
869364265453244467,milonn,10,1
1155682535288864818,judge_1263,57,5
782633686218702848,mmk6,10,1
506883626936303616,ItsOnlyRNG,10,1
190590364871032834,builderb,80,1
280158289667555328,auguwu,50,1
1083004935551066132,Toilet Bowl,50,2
949692725027037194,lordcostin,10,1
279811031805591555,Lykos,10,1
691284104909422714,itzmann,20,1
1140535789290274827,JetMoon,10,1
1077672502349799596,Sakura Bot,10,1
850235530695540736,meraki4386,30,2
294576386696544273,D1-C3,10,1
851760449539407882,Jr. Kelly,30,1
1107953805003329536,Sentinel,10,1
987396259981721711,Themis,10,1
791971458372730881,Elysium,40,1
1085616825494155284,poxi bot,40,1
160677293252018177,Harmonbot,50,1
1084432530805108796,Pro Welcomer✨,40,1
356831787445387285,GiselleBot,40,1
896250399584051240,Pixel,40,1
476303446547365891,Friday,20,1
456492080781328384,DAS,40,1
928966154817523723,L u c y ♡,40,1
1048837687777431602,Void-bot,40,1
680358256732143626,DBIT,40,1
718078843721744494,GamerZone Global,40,1
570171110742556673,RBXBolt,40,1
968250211224932372,Warrior Bot,40,1
1016379490953330720,Micro,30,1
168169809303961600,Pollr,30,1
429656936435286016,RinBot,30,1
995456528473661451,Lobot,50,1
1154593596310298666,BR Bot,40,1
945411538985046167,Muse,40,1
544207672623235073,Emerald,40,1
603541055530598400,Support System,40,1
973994338377941082,Giscord,40,1
1122485239621619835,ʚଓ Krishna <3･ﾟ✧,40,1
431837317246877698,Amazing,40,1
1113874631489753148,Ultima,40,1
454564411596865537,Dragon Ball OV,60,1
1103238459109412915,Anti RickRoll Bot,40,1
473816281028493314,Somsiad,30,1
990765258186571817,Lightning,40,1
708428058822180874,Fishy.py,30,1
802267523058761759,Pixel,40,1
428634701771702282,CharizardBot,40,1
1114597604223889570,requests,40,1
219401942781132800,i-Tool,40,1
407929486206566400,Atsuko,40,1
564160684540166174,Rocket League Crate Simulator,40,1
722913076344782858,Sarnento,40,1
893158413402505299,Akko,40,1
846770591231246336,Manbo,40,1
626327927050600448,Pal-bot,10,1
1055209868899913788,zuki.gm,10,1
602158699900829706,MK Bot,10,1
310848622642069504,JuniperBot,20,1
1001168331996409856,In House Queue,10,1
990263875708551218,Teams,10,1
1112047638204928031,zagzag,10,1
720656641002962995,Clanbutler,10,1
405724335525855232,UnitCorrector,10,1
1130278529423114271,CoreGPT,10,1
947487125627088937,Anti Link,10,1
804132401453465640,VoidBot,10,1
107256979105267712,Kupo Bot,10,1
822981583832612904,DisGo,10,1
766713247562203178,PollBot,10,1
748256867662299137,EmojiBot,10,1
928323512135974922,Atom,10,1
1062341992106954762,Rustilator,10,1
979219206300106787,Lidraughts Statbot,10,1
927443769194868787,ax bot,10,1
821023224690114600,LoLCustomShuffler,10,1
288641089668120587,wadbot,10,1
742468030994448567,JummyBot,10,1
718493970652594217,Tickety,10,1
796646075321679912,Aborea by The_Bow_Hunter,10,1
708693822007279727,CSRage,10,1
333058936859000832,Samodeus,10,1
1001671313393463358,MC Status,10,1
748670819156099073,Aadit's Hangman Bot,10,1
770397295664431127,Arab-Duelists,10,1
554302918287818752,AlphaBot,20,1
816726565261803590,Lucifer Morningstar,20,1
320942091049893888,Volte,20,1
1117336878715256832,freso,20,1
702203935506563082,Lama - Auction Bot,10,1
747997152248070225,sita,20,1
865524120573181972,Status Notifier,10,1
946638851563225099,Vanilla™,20,1
901245095502819358,Trade Hub,10,1
940389431213428746,PrimeBot.,10,1
1065192828860375101,vlone,20,1
810093575500726302,ℜ𝔞𝔠𝔥𝔢𝔩,10,1
1075956767026069545,Ai LiLi 愛莉莉,10,1
1106027638180565003,Sven,10,1
857650250940547115,PokéBest,10,1
720984651648204861,thefabolousdust,30,1
808706062013825036,MELON,10,1
1156990406135918673,big_boss0425,20,1
199217346911404032,luau,10,1
714234451944669185,berkayima,10,1
1125899673023041617,slld11,20,1
417982513689001984,alenkai,10,1
789903342285225985,toksik_waste,20,1
634184291374333972,jimmy.two.cans,20,1
